Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
2019-09-28 09:11:17,"13918212","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:18,"13918212","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:19,"13918020","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:20,"13918020","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:21,"13918116","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:22,"13918116","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:23,"13918116","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:24,"13918116","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:25,"13918116","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:26,"13918244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:27,"13918244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:28,"13918244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:29,"13918244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:30,"13918244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:31,"13918244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:32,"13918244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:33,"13918244","0","0","0","2","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:34,"13918244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:35,"13918244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:36,"13918244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:37,"13918504","0","0","0","1","0","0","0","99","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:38,"13917000","0","0","0","1","0","1","0","99","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:39,"13916616","0","0","0","1","0","1","0","99","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:40,"13916492","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:41,"13916496","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:42,"13918576","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:43,"13918576","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:44,"13918732","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:45,"13918732","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:46,"13918732","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:47,"13918676","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:48,"13918676","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:49,"13918688","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:50,"13918688","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:51,"13918316","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:52,"13918316","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:53,"13918316","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:54,"13918440","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:55,"13914644","0","0","0","3","0","12","0","87","0","0","0","7800864","483528","455176","28352","0","0","12","0","5","7","0","25","20480","9733","382132","220872","43724","16346","797300","14336","0","9","1","0","24612","397","208","21553","10563","0",
